circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID	Score
chr9:846960|894195	chr9	846960	894195	5	4_5_0	0	1.00	exon	ENSG00000137090.12	+	simulate:511900,simulate:511896,simulate:511897,simulate:511894,simulate:511895	4
chr9:2943565|3013028	chr9	2943565	3013028	2	1_2_0	11	0.27	exon	ENSG00000227835.8	-	simulate:491153,simulate:491156	1
chr9:3671474|3674648	chr9	3671474	3674648	3	3_3_0	21	0.22	exon	ENSG00000232104.4	+	simulate:510060,simulate:510058,simulate:510066	3
chr9:5431897|5436694	chr9	5431897	5436694	2	1_1_1	0	1.00	exon	ENSG00000107020.10	-	simulate:483379,simulate:483378	1
chr9:5805611|5812217	chr9	5805611	5812217	12	10_7_0	0	1.00	exon	ENSG00000099219.15	-	simulate:498999,simulate:499008,simulate:498997,simulate:498998,simulate:499018,simulate:499004,simulate:498994,simulate:499005,simulate:499011,simulate:499000,simulate:499001,simulate:499010	6
chr9:8936079|8958848	chr9	8936079	8958848	3	1_3_0	2	0.75	exon	ENSG00000234021.1	+	simulate:482139,simulate:482135,simulate:482140	1
chr9:11640733|11784659	chr9	11640733	11784659	2	1_2_0	0	1.00	exon	ENSG00000285784.1	+	simulate:514811,simulate:514809	1
chr9:13150511|13176417	chr9	13150511	13176417	3	1_3_0	4	0.60	exon	ENSG00000107186.17	-	simulate:511708,simulate:511702,simulate:511714	1
chr9:15187971|15203890	chr9	15187971	15203890	11	9_5_2	0	1.00	exon	ENSG00000155158.20	-	simulate:494908,simulate:494904,simulate:494917,simulate:494906,simulate:494918,simulate:494907,simulate:494922,simulate:494923,simulate:494924,simulate:494914,simulate:494910	7
chr9:15423909|15433636	chr9	15423909	15433636	4	4_4_0	0	1.00	exon	ENSG00000164975.16	+	simulate:497908,simulate:497907,simulate:497909,simulate:497906	4
chr9:17761437|17789550	chr9	17761437	17789550	5	5_4_0	0	1.00	exon	ENSG00000107295.10	+	simulate:486858,simulate:486866,simulate:486864,simulate:486853,simulate:486862	4
chr9:18635943|18662073	chr9	18635943	18662073	3	2_3_0	0	1.00	exon	ENSG00000178031.18	+	simulate:513064,simulate:513063,simulate:513062	2
chr9:22213677|22214672	chr9	22213677	22214672	4	3_3_0	4	0.67	exon	ENSG00000236921.1	-	simulate:513084,simulate:513082,simulate:513081,simulate:513080	2
chr9:26920227|26926560	chr9	26920227	26926560	6	1_5_0	3	0.80	exon	ENSG00000137055.15	-	simulate:508742,simulate:508728,simulate:508745,simulate:508724,simulate:508747,simulate:508725	1
chr9:26997728|26999703	chr9	26997728	26999703	5	5_4_0	5	0.67	exon	ENSG00000184434.8	-	simulate:487225,simulate:487223,simulate:487222,simulate:487233,simulate:487221	4
chr9:27185485|27203119	chr9	27185485	27203119	6	4_5_0	4	0.75	exon	ENSG00000120156.22	+	simulate:508220,simulate:508231,simulate:508241,simulate:508224,simulate:508206,simulate:508238	3
