logFC	logCPM	LR	PValue	DE	FDR
chr9:120991191|121008498	-5.95670797184244	7.40378141255486	1.82054625528521	0.177248268250104	0	0.57132041135255
chr9:129830871|129834766	-4.82323632490856	6.7263088324198	1.67656760745225	0.195381161745605	0	0.57132041135255
chr9:132498695|132499600	-5.76760299571759	7.2677789148179	1.66772221829277	0.196563902488002	0	0.57132041135255
chr9:77456295|77517544	4.76474234402351	6.72645814266326	1.65896268144357	0.197743438735104	0	0.57132041135255
chr9:93335876|93346414	4.76474234402351	6.72645814266326	1.65896268144357	0.197743438735104	0	0.57132041135255
chr9:136199678|136200753	4.50487780539731	6.71447920019654	1.61990010592962	0.203105716940896	0	0.57132041135255
chr9:129639402|129640722	4.59863312948281	6.63108176374495	1.57480947575684	0.209509933668888	0	0.57132041135255
chr9:33057598|33068934	4.86804048024473	6.75013921397523	1.56081906292602	0.211545334006124	0	0.57132041135255
chr9:104111581|104118375	5.45891898585587	7.18914133815998	1.51377897742097	0.218563352285945	0	0.57132041135255
chr9:5431897|5436694	-4.56820757189616	6.62092660692939	1.49455563895338	0.221510969853238	0	0.57132041135255
chr9:113354240|113360737	-5.57396958448575	7.13989878924529	1.49290688729571	0.221765987068171	0	0.57132041135255
chr9:135588593|135589484	5.50848681970356	7.09282579033384	1.43555670706111	0.230859717350832	0	0.57132041135255
chr9:113413445|113413894	5.50847423249149	7.08347345017308	1.42516081731077	0.232555822104088	0	0.57132041135255
chr9:120911336|120914300	5.36977299878889	7.11135877978761	1.41417062612458	0.234365277575894	0	0.57132041135255
chr9:86950867|86987615	-5.4654319432699	7.06480181089116	1.38302676778601	0.239586250800784	0	0.57132041135255
chr9:132390597|132398326	-5.4654319432699	7.06480181089116	1.38302676778601	0.239586250800784	0	0.57132041135255
chr9:127817759|127818389	-5.41805662271531	7.06811668559633	1.37430050554867	0.241074369412784	0	0.57132041135255
chr9:15433552|15451402	5.19621885369119	7.12054075249638	1.3705215782434	0.241722289571009	0	0.57132041135255
chr9:116373199|116377647	-4.33064409630777	6.61644308857866	1.36554672762769	0.242578493573305	0	0.57132041135255
chr9:26747510|26748312	5.37938202677358	7.00955437055329	1.33999472340282	0.247034898754094	0	0.57132041135255
chr9:26997728|26999703	-5.33833845009919	6.98558290192825	1.31101969980326	0.252210116140661	0	0.57132041135255
chr9:136979223|136980855	-5.22098495549958	6.99256928888903	1.28358455454347	0.257233610416743	0	0.57132041135255
chr9:103001578|103003263	5.22345350167214	6.93163072256088	1.27105975642569	0.259567964443172	0	0.57132041135255
chr9:100326302|100330169	-5.10984615525612	6.90915607750294	1.2292089159659	0.267560940249978	0	0.57132041135255
chr9:137040671|137041187	5.00272830404809	6.90011607540124	1.21786418147245	0.269780214855723	0	0.57132041135255
chr9:109149636|109150860	3.64475915859124	6.70240618423414	1.16271073587546	0.280904066298336	0	0.57132041135255
chr9:33026813|33034330	3.64475915859124	6.70240618423414	1.16271073587546	0.280904066298336	0	0.57132041135255
chr9:82277049|82297540	3.64475915859124	6.70240618423414	1.16271073587546	0.280904066298336	0	0.57132041135255
